Centro;Emplazamiento;Denominación
1000;Q050100082;F.CC.ADMINISTRATIVAS AULA 408
1000;Q050100083;F.CC.ADMINISTRATIVAS AULA 409
1000;Q050100084;F.CC.ADMINISTRATIVAS AULA 410
1000;Q050100085;F.CC.ADMINISTRATIVAS AULA 411
1000;Q050100086;F.CC.ADMINISTRATIVAS AULA 412
1000;Q050100087;F.CC.ADMINISTRATIVAS AULA 413
1000;Q050100088;F.CC.ADMINISTRATIVAS AULA 414
1000;Q050100089;F.CC.ADMINISTRATIVAS AULA 415
1000;Q050100090;F.CC.ADMINISTRATIVAS OFICINA 411
1000;Q050100091;F.CC.ADMINISTRATIVAS CAFETERÍA
1000;Q050100092;F.CC.ADMINISTRATIVASCAFETERÍA MAESTRIAS
1000;Q050100093;F.CC.ADMINISTRATIVASCAFETERÍA SECRET.
1000;Q050100094;F.CC.ADMINISTRATIVAS TUTORIAS P3
1000;Q050100095;F.CC.ADMINISTRATIVAS AULA 406
1000;Q050200001;FAC.ARQUITECTURA DECANATO
1000;Q050200002;FAC.ARQUITECTURA SUBDECANATO
1000;Q050200003;FAC.ARQUITECTURASECRETARIA.FACULTAD
1000;Q050200004;FAC.ARQUITECTURA SALA DE REUNIONES
1000;Q050200005;FAC.ARQUITECTURA SALA DE PROFESORES
1000;Q050200006;FAC.ARQUITECTURA SECRETARÍA ABOGADO
1000;Q050200007;FAC.ARQUITECTURA INFORMACIÓN
1000;Q050200008;FAC.ARQUITECTURA COORDINACIÓN OFICINA
1000;Q050200009;FAC.ARQUITECTURAPASILLOS Y HALLS PISO 1
1000;Q050200010;FAC.ARQUITECTURA PASILLOS OFICINA
1000;Q050200011;FAC.ARQUITECTURA AULA 209
1000;Q050200012;FAC.ARQUITECTURA AULA 210
1000;Q050200013;FAC.ARQUITECTURAPASILLOS Y HALLS PISO 2
1000;Q050200014;FAC.ARQUITECTURAPASILLOS Y HALLS PISO 3
1000;Q050200015;FAC.ARQUITECTURAPASILLOS Y HALLS PISO 4
1000;Q050200016;FAC.ARQUITECTURAPASILLOS Y HALLS PISO 5
1000;Q050200017;FAC.ARQUITECTURA AULA 1 (EDIFICIO TALLER
1000;Q050200018;FAC.ARQUITECTURA AULA 2 (EDIFICIO TALLER
1000;Q050200019;FAC.ARQUITECTURA AULA 3 (EDIFICIO TALLER
1000;Q050200020;FAC.ARQUITECTURA AULAS
1000;Q050200021;FAC.ARQUITECTURA AULA 301-306
1000;Q050200022;FAC.ARQUITECTURA AULA 401-406
1000;Q050200023;FAC.ARQUITECTURA AULA 501-505
1000;Q050200024;FAC.ARQUITECTURA BAÑOS Y BODEGA
1000;Q050200025;FAC.ARQUITECTURA CONSERJERÍA
1000;Q050200026;FAC.ARQUITECTURACAFET.PROF.ARQUITECTURA
1000;Q050200027;FAC.ARQUITECTURASERIGRAFÍA AEROGRAFÍA
1000;Q050200028;FAC.ARQUITECTURAPAPEL ENCUADERNACIÓN
1000;Q050200029;FAC.ARQUITECTURAIMPRESIÓN GRABADO
1000;Q050200030;FAC.ARQUITECTURAT.EVA.4 METALES
1000;Q050200031;FAC.ARQUITECTURAT.EVA.5 MADERAS
1000;Q050200032;FAC.ARQUITECTURAT.EVA.6 CERÁMICAS
1000;Q050200033;FAC.ARQUITECTURA TALLER 213
1000;Q050200034;FAC.ARQUITECTURA BODEGA DE TALLERES
1000;Q050200035;FAC.ARQUITECTURAASISTENTE  ADMINISTRATIV
1000;Q050200036;FAC.ARQUITECTURACURSOS.EXTENSIÓN (ARQ)
1000;Q050200037;FAC.ARQUITECTURADIREC.DE ARQUITECTURA
1000;Q050200038;FAC.ARQUITECTURACOORD.CURSOS BÁSICOS
1000;Q050200039;FAC.ARQUITECTURACOORD.ARQ  7-8-9 NIVEL
1000;Q050200040;FAC.ARQUITECTURACNV.CTRO.DCTCIÓN.S.LECT
1000;Q050200041;FAC.ARQUITECTURA SALA DE AUDIOVISUALES
1000;Q050200042;FAC.ARQUITECTURAC.BÁSICOS.ART.PLÁSTICAS
1000;Q050200043;FAC.ARQUITECTURACO. ARTES.PLASTICAS
1000;Q050200044;FAC.ARQUITECTURACTR.DISEÑO Y DESARROLLO
1000;Q050200045;FAC.ARQUITECTURA DIRECCIÓN DE DISEÑO
1000;Q050200046;FAC.ARQUITECTURA COORDINACIÓN DE DISEÑO
1000;Q050200047;FAC.ARQUITECTURA LABORATORIO DISEÑO
1000;Q050200048;FAC.ARQUITECTURASUBS.CTRO.DTCIÓN.S.LECT
1000;Q050200049;FAC.ARQUITECTURA CENTRO DE CÓMPUTO 212
1000;Q050200050;FAC.ARQUITECTURACENTRO DE CPTO SALA 1
1000;Q050200051;FAC.ARQUITECTURACENTRO DE CPTO SALA 2
1000;Q050200052;FAC.ARQUITECTURACENTRO DE CPTO SALA 3
1000;Q050200053;FAC.ARQUITECTURA LAB. DE FOTOGRAFÍA
1000;Q050200054;FAC.ARQUITECTURADIREC. ARTES PLÁSTICAS
1000;Q050200055;FAC.ARQUITECTURA COORDINACIÓN ACADÉMICA
1000;Q050200056;FAC.ARQUITECTURACOORD. PRÁCTICAS
1000;Q050200057;FAC.ARQUITECTURA AUDITORIO
1000;Q050200058;FAC.ARQUITECTURA AULA 6TO. PISO
1000;Q050200059;FAC.ARQUITECTURA AULA TALLER
1000;Q050200060;FAC.ARQUITECTURA AULA CARPINTERIA
1000;Q050200061;FAC.ARQUITECTURACOORD.ACADEMICA 1,2
1000;Q050200062;FAC.ARQUITECTURACOORD.ACDMCA.3,4,5,6
1000;Q050200063;FAC.ARQUITECTURACOORDINACIÓN  TALLERES
1000;Q050200064;FAC.ARQUITECTURA SALON MÚLTIPLE
1000;Q050200065;FAC.ARQUITECTURASECRETARIA.DECANATO
1000;Q050200066;FAC.ARQUITECTURACOORDINACION DE CARRERA
1000;Q050200067;FAC.ARQUITECTURA PROYECTO MURO TROMBE
1000;Q050200068;FAC.ARQUITECTURA SALA DE EXPOSICIÓN
1000;Q050200069;FAC.ARQUITECTURA AULA 101
1000;Q050200070;FAC.ARQUITECTURA AULAS 201
1000;Q050200071;FAC.ARQUITECTURA AULAS 214-216
1000;Q050200072;FAC.ARQUITECTURA OFICINAS NUEVAS
1000;Q050200073;FAC.ARQUITECTURAPASILLOS.HALLS OF.NUEVS
1000;Q050200074;FAC.ARQUITECTURA ARCHIVO SECRETARIA
1000;Q050200075;FAC.ARQUITECTURA OFICINA TUTORIA
1000;Q050200076;FAC.ARQUITECTURACUBÍCULO PROFESORES P2
1000;Q050200077;FAC.ARQUITECTURACUBÍCULO PROFESORES P1
1000;Q050200078;FAC.ARQUITECTURA DIRECCIÓN DE CARRERA
1000;Q050200079;FAC.ARQUITECTURA SALA DE TUTORES 1
1000;Q050200080;FAC.ARQUITECTURA SALA DE TUTORES 2
1000;Q050200081;FAC.ARQUITECTURA COMITÉ DE CARRERA
1000;Q050200082;FAC.ARQUITECTURA AULA 110
1000;Q050200083;FAC.ARQUITECTURA AULAS 113-114
1000;Q050200084;FAC.ARQUITECTURAOF.PROFESORES (NUEVAS)
1000;Q050200085;FAC.ARQUITECTURA SALA DE CONCEJO
1000;Q050200086;FAC.ARQUITECTURA AULA 115
1000;Q050200087;FAC.ARQUITECTURA AULA 116
1000;Q050200088;FAC.ARQUITECTURACARRERA  ARTES VISUALES
1000;Q050200089;FAC.ARQUITECTURAOF. EXTENSIÓN 308
1000;Q050200090;FAC.ARQUITECTURA AULA 309
1000;Q050200091;FAC.ARQUITECTURA AULA 307
1000;Q050200092;FAC.ARQUITECTURA COORDINACIÓN MAESTRÍAS
1000;Q050200093;FAC.ARQUITECTURA SALA DE POSGRADOS
1000;Q050200094;FAC.ARQUITECTURA AULA 102
1000;Q050200095;FAC.ARQUITECTURA AULA 103
1000;Q050200096;FAC.ARQUITECTURA AULA 104
1000;Q050200097;FAC.ARQUITECTURA AULA 105
1000;Q050200098;FAC.ARQUITECTURA AULA 106
1000;Q050200099;FAC.ARQUITECTURA AULA 107
1000;Q050200100;FAC.ARQUITECTURA AULA 108
1000;Q050200101;FAC.ARQUITECTURA AULA 109
1000;Q050200102;FAC.ARQUITECTURA AULA 202
1000;Q050200103;FAC.ARQUITECTURA AULA 203
1000;Q050200104;FAC.ARQUITECTURA AULA 204
1000;Q050200105;FAC.ARQUITECTURA AULA 205
1000;Q050200106;FAC.ARQUITECTURA AULA 206
1000;Q050200107;FAC.ARQUITECTURA AULA 207
1000;Q050200108;FAC.ARQUITECTURA AULA 208
1000;Q050210001;CAR.ARQUITECTURA DIR. PROYECTO ARQUIT MO
1000;Q050300001;FA.CC.HUMANAS DECANATO OFC. 913
1000;Q050300002;FA.CC.HUMANAS SECRETARÍA DEL DECANATO
1000;Q050300003;FA.CC.HUMANAS SUBDECANATO
1000;Q050300004;FA.CC.HUMANASSALA.PROFESORES OFC. 925
1000;Q050300005;FA.CC.HUMANASSALA.PROFS. COMPUTO 1.2
1000;Q050300006;FA.CC.HUMANASPROYECTO DE RECONSTRUCCIÓN
1000;Q050300007;FA.CC.HUMANASSECRETARÍA 906
1000;Q050300008;FA.CC.HUMANAS SALA DE ESPERA
1000;Q050300009;FA.CC.HUMANAS ARCHIVO OFC. 905
1000;Q050300010;FA.CC.HUMANAS SALA DE REUNIONES OFC.911
1000;Q050300011;FA.CC.HUMANASCUB.PROF. OF.923-26-28
1000;Q050300012;FA.CC.HUMANAS SALA DE TRABAJO
1000;Q050300013;FA.CC.HUMANAS AULA AUDIOVISUALES
1000;Q050300014;FA.CC.HUMANAS AULAS
1000;Q050300015;FA.CC.HUMANAS PASILLOS Y HALLS
1000;Q050300016;FA.CC.HUMANAS BAÑOS Y BODEGA
1000;Q050300017;FA.CC.HUMANAS AULA TALLER  1302
1000;Q050300018;FA.CC.HUMANAS CELA
1000;Q050300019;FA.CC.HUMANAS BIBLIOTECA
1000;Q050300020;FA.CC.HUMANASPROG.DD.HH.DEMCRCIA.OF.323
1000;Q050300021;FA.CC.HUMANAS SALA DE GRADOS
1000;Q050300022;FA.CC.HUMANAS OF. DE PROFESORES 219
1000;Q050300023;FA.CC.HUMANAS OF. DE PROFESORES 220
1000;Q050300024;FA.CC.HUMANAS OF. DE PROFESORES 221
1000;Q050300025;FA.CC.HUMANAS OF. DE PROFESORES 222
1000;Q050300026;FA.CC.HUMANAS OF. DE PROFESORES 223
1000;Q050300027;FA.CC.HUMANAS OF. DE PROFESORES 224
1000;Q050300028;FA.CC.HUMANAS OF. DE PROFESORES 225
1000;Q050300029;FA.CC.HUMANAS OF. DE PROFESORES 226
1000;Q050300030;FA.CC.HUMANASDIR.ESC.TURISMO.HOTELERIA
1000;Q050300031;FA.CC.HUMANAS OFICINA DEL SECRETARIO
1000;Q050300032;FA.CC.HUMANAS OFICINA 901
1000;Q050300033;FA.CC.HUMANAS OFICINA 920
1000;Q050300034;FA.CC.HUMANASAULA 104 (ED. INGENIERIA)
1000;Q050300035;FA.CC.HUMANASAULA 106 (ED. INGENIERÍA)
1000;Q050300036;FA.CC.HUMANASAULA 1 (ED. INGENIERÍA)
1000;Q050300037;FA.CC.HUMANASAULA 2 (ED. INGENIERÍA)
1000;Q050300038;FA.CC.HUMANASAULA 3 (ED. INGENIERÍA)
1000;Q050300039;FA.CC.HUMANASAULA 4 (ED. INGENIERÍA)
1000;Q050300040;FA.CC.HUMANASAULA 5 (ED. INGENIERÍA)
1000;Q050300041;FA.CC.HUMANASAULA 103 (ED.INGENIERÍA)
1000;Q050300042;FA.CC.HUMANAS AULA 1001
1000;Q050300043;FA.CC.HUMANAS AULA 1002
1000;Q050300044;FA.CC.HUMANAS AULA 1003
1000;Q050300045;FA.CC.HUMANAS AULA 1004
1000;Q050300046;FA.CC.HUMANAS AULA 1005
1000;Q050300047;FA.CC.HUMANAS AULA 1006
1000;Q050300048;FA.CC.HUMANAS AULA 1007
1000;Q050300049;FA.CC.HUMANAS AULA 1008
1000;Q050300050;FA.CC.HUMANAS AULA 1108
1000;Q050300051;FA.CC.HUMANAS AULA 1109
1000;Q050300052;FA.CC.HUMANAS AULA 1010
1000;Q050300053;FA.CC.HUMANASSALA.SESIÓN.PROF. PISO 14
1000;Q050300054;FA.CC.HUMANAS SALA DE ESPERA PISO 14
1000;Q050300055;FA.CC.HUMANAS SALA DE MÁQUINAS PISO 14
1000;Q050300056;FA.CC.HUMANAS AULA 1101
1000;Q050300057;FA.CC.HUMANAS AULA 1104
1000;Q050300058;FA.CC.HUMANAS AULA 1105
1000;Q050300059;FA.CC.HUMANAS AULA 1106
1000;Q050300060;FA.CC.HUMANAS AULA 1107
1000;Q050300061;FA.CC.HUMANAS AULA 1108
1000;Q050300062;FA.CC.HUMANAS AULA 1109
1000;Q050300063;FA.CC.HUMANAS AULA 1201
1000;Q050300064;FA.CC.HUMANAS AULA 1202
1000;Q050300065;FA.CC.HUMANAS AULA 1203
1000;Q050300066;FA.CC.HUMANAS AULA 1204
1000;Q050300067;FA.CC.HUMANAS AULA 1210
1000;Q050300068;FA.CC.HUMANASOFICINA - EDIF. INGENIERIA
1000;Q050300069;FA.CC.HUMANASPASILLOS Y HALLS PB ED.ING
1000;Q050300070;FA.CC.HUMANASPASILLOS Y HALLS P1 ED.ING
1000;Q050301001;CENT.EST.LAT.(CELA) DIRECCIÓN OF.1402
1000;Q050301002;CENT.EST.LAT.(CELA)COORDINACIÓN OF.1401
1000;Q050301003;CENT.EST.LAT.(CELA) SECRETARIA OF.1400
1000;Q050301004;CENT.EST.LAT.(CELA)CTRO.DOCT.CELA.BIBL.
1000;Q050301005;CENT.EST.LAT.(CELA)CTRO.DOC.CEL.S.LECT
1000;Q050301006;CENT.EST.LAT.(CELA) BAÑOS PISO 14
1000;Q050301007;CENT.EST.LAT.(CELA)SALA.DIGITACIÓN P14
1000;Q050301008;CENT.EST.LAT.(CELA)ASE.INV.APLIC.OF1209
1000;Q050301009;CENT.EST.LAT.(CELA)ASE.INV.APLIC.P.14
1000;Q050301010;CENT.EST.LAT.(CELA)OBSERVATORIO.POLITCO
1000;Q050301011;CENT.EST.LAT.(CELA) SALA DE REUNIONES
1000;Q050301012;CENT.EST.LAT.(CELA)OFICINA PROFESORES
1000;Q050301013;CENT.EST.LAT.(CELA) PASILLOS Y HALLS
1000;Q050320001;ESC.HOTELYTURISMO DIRECCION
1000;Q050320002;ESC.HOTELYTURISMOCUB.PROFESORES P9
1000;Q050320003;ESC.HOTELYTURISMOCUB. PROFESORS P14
1000;Q050320004;ESC.HOTELYTURISMOMAEST.HOTELER.TURISMO
1000;Q050320005;ESC.HOTELYTURISMOCUB.PROF.209 FAC.ING
1000;Q050320006;ESC.HOTELYTURISMO AULAS
1000;Q050320007;ESC.HOTELYTURISMOCUB. PROFESORS PISO 12
1000;Q050320008;ESC.HOTELYTURISMOPASILLOS-HALLS (F.ING)
1000;Q050320009;ESC.HOTELYTURISMOLAB.TÉCNCS.PRODUC.ALIM
1000;Q050320010;ESC.HOTELYTURISMOOF.INVESTIGACIÓN P.14
1000;Q050320011;ESC.HOTELYTURISMOSALA.REUNIONES PISO 14
1000;Q050330001;ESC.ANTROPOLOGÍA DIRECCIÓN OFC. 909
1000;Q050330002;ESC.ANTROPOLOGÍA SECRETARIA OF.923
1000;Q050330003;ESC.ANTROPOLOGÍALAB. ANTROPOLOGÍA
1000;Q050330004;ESC.ANTROPOLOGÍA OFICINA 922
1000;Q050330005;ESC.ANTROPOLOGÍACUB. PROFESORES  P14
1000;Q050331001;PROG.ESTU.ESPECIALIZ DIRECCIÓN  OF. 903
1000;Q050331002;PROG.ESTU.ESPECIALIZ SECRETARIA
1000;Q050331003;PROG.ESTU.ESPECIALIZOF. INVES. CC.EDUC
1000;Q050340001;ESC.GEOGRAFÍA DIRECCIÓN OFC.910
1000;Q050340002;ESC.GEOGRAFÍALABORATORIO DE CARTOGRAFÍA
1000;Q050340003;ESC.GEOGRAFÍABODEGA LAB. CARTOGRAFÍA
1000;Q050340004;ESC.GEOGRAFÍA OFICINA 1207
1000;Q050340005;ESC.GEOGRAFÍA SALA CUPA
1000;Q050340006;ESC.GEOGRAFÍA OFICINA DE PROFESORES
1000;Q050340007;ESC.GEOGRAFÍA SECRETARÍA
1000;Q050340008;ESC.GEOGRAFÍA LAB.BIOLOGÍA
1000;Q050340009;ESC.GEOGRAFÍA SALA DE TRABAJO
1000;Q050340010;ESC.GEOGRAFÍA PROYECTO PUCE - IRD
1000;Q050340011;ESC.GEOGRAFÍA PROYECTO INSTRUCT-PUCE
1000;Q050340012;ESC.GEOGRAFÍACENT DOC MAEST GEOGRAFÍA
1000;Q050340013;ESC.GEOGRAFÍALAB. SUELOS.AGRIC-NAYON
1000;Q050340014;ESC.GEOGRAFÍACUB. PROFESORES PISO 14
1000;Q050340015;ESC.GEOGRAFÍAUNIDAD INVESTIG GEOGRAF
1000;Q050340016;ESC.GEOGRAFÍAMAEST. DESARROLLO REGIONAL
1000;Q050340017;ESC.GEOGRAFÍALAB.GEOMATICA-CC.BIOLOG.P5
1000;Q050340018;ESC.GEOGRAFÍA OF. 105 (FAC.INGENIERÍA)
1000;Q050340019;ESC.GEOGRAFÍA PASILLOS Y HALLS
1000;Q050350001;ESC.HISTORIA DIRECCIÓN OFC. 907
1000;Q050350002;ESC.HISTORIACUBÍCULO PROFESORES PISO 14
1000;Q050351001;CTRO.INV.ARQUEOLÓGICAS DIRECCIÓN OFC. 5
1000;Q050351002;CTRO.INV.ARQUEOLÓGICAS SECRETARÍA
1000;Q050351003;CTRO.INV.ARQUEOLÓGICAS OFICINA     4
1000;Q050351004;CTRO.INV.ARQUEOLÓGICAS OFICINA     3
1000;Q050351005;CTRO.INV.ARQUEOLÓGICAS OFICINA     6
1000;Q050351006;CTRO.INV.ARQUEOLÓGICAS BIBLIOTECA
1000;Q050351007;CTRO.INV.ARQUEOLÓGICAS AULAS
1000;Q050351008;CTRO.INV.ARQUEOLÓGICASSALA DE LECTURA  1
1000;Q050351009;CTRO.INV.ARQUEOLÓGICASSALA DE LECTURA  2
1000;Q050351010;CTRO.INV.ARQUEOLÓGICAS HORNO
1000;Q050351011;CTRO.INV.ARQUEOLÓGICAS PASILLO Y HALLS
1000;Q050351012;CTRO.INV.ARQUEOLÓGICAS BAÑOS Y BODEGA
1000;Q050351013;CTRO.INV.ARQUEOLÓGICASTALLER.CERÁMICA
1000;Q050351014;CTRO.INV.ARQUEOLÓGICAS LAB. ARQUEOLOGÍA
1000;Q050360001;ESC.SOCIOLOGÍA DIRECCIÓN
1000;Q050360002;ESC.SOCIOLOGÍACUB PROFESORES P9
1000;Q050360003;ESC.SOCIOLOGÍACUB PROFESORES P14
1000;Q050361001;PRO.GOB.GER.POLI DIRECCIÓN OFICINA 508
1000;Q050361002;PRO.GOB.GER.POLI SALA DE SESIONES
1000;Q050361003;PRO.GOB.GER.POLI SALA DE DIRECCIONES
1000;Q050361004;PRO.GOB.GER.POLI SALA DE PROFESORES
1000;Q050361005;PRO.GOB.GER.POLI CUBICULO 1
1000;Q050361006;PRO.GOB.GER.POLI OFICINA 1
1000;Q050361007;PRO.GOB.GER.POLI OFICINA 2
1000;Q050361008;PRO.GOB.GER.POLI OFICINA 3
1000;Q050361009;PRO.GOB.GER.POLI OFICINA 4
1000;Q050361010;PRO.GOB.GER.POLI BIBLIOTECA
1000;Q050361011;PRO.GOB.GER.POLIPRY.INST.SARTEM CC.EXAC
1000;Q050361012;PRO.GOB.GER.POLI CUBÍCULO 1
1000;Q050361013;PRO.GOB.GER.POLI CUBÍCULO 2
1000;Q050361014;PRO.GOB.GER.POLI CUBÍCULO 3
1000;Q050361015;PRO.GOB.GER.POLI BODEGA
1000;Q050361016;PRO.GOB.GER.POLI PASILLOS Y HALLS
1000;Q050361017;PRO.GOB.GER.POLI AULA 504
1000;Q050361018;PRO.GOB.GER.POLI SALA DE ESPERA
1000;Q050361019;PRO.GOB.GER.POLI AULA 503
1000;Q050361020;PRO.GOB.GER.POLI SECRETARIA 505
1000;Q050361021;PRO.GOB.GER.POLILAB.INV.SOCIO.POLTC.507
1000;Q050361022;PRO.GOB.GER.POLILAB.INV.GEOGRÁFICA.506
1000;Q050362001;MAEST.PASAJE.ANDINO SECRETARIA
1000;Q050362002;MAEST.PASAJE.ANDINO DIRECCIÓN
1000;Q050362003;MAEST.PASAJE.ANDINO SALA DE GRADOS
1000;Q050400001;FAC.CC.EDUCACIÓN SECRETARÍA DECANATO
1000;Q050400002;FAC.CC.EDUCACIÓN DECANATO
1000;Q050400003;FAC.CC.EDUCACIÓN ESTIMULACIÓN TEMPRANA
1000;Q050400004;FAC.CC.EDUCACIÓN SECRETARÍA GENERAL
1000;Q050400005;FAC.CC.EDUCACIÓNSECRTARÍA GRAL OF.3
1000;Q050400006;FAC.CC.EDUCACIÓNSECRTARÍA GRAL OF.4
1000;Q050400007;FAC.CC.EDUCACIÓN OFICINA 123
1000;Q050400008;FAC.CC.EDUCACIÓN OFICINA 211
1000;Q050400009;FAC.CC.EDUCACIÓN OFICINA 212
1000;Q050400010;FAC.CC.EDUCACIÓNOF.303 SALA.ARCHIVO
1000;Q050400011;FAC.CC.EDUCACIÓNPROFESIONALIZACIONYCAP
1000;Q050400012;FAC.CC.EDUCACIÓNRECUR.DIDÁCTICOS
1000;Q050400013;FAC.CC.EDUCACIÓN MAEST.CC.EDUCACION
1000;Q050400014;FAC.CC.EDUCACIÓN SALA DE GRADOS 006
1000;Q050400015;FAC.CC.EDUCACIÓNCOORD.PREGRADO010
1000;Q050400016;FAC.CC.EDUCACIÓN AULAS
1000;Q050400017;FAC.CC.EDUCACIÓN PASILLOS Y HALLS PB
1000;Q050400018;FAC.CC.EDUCACIÓN BAÑOS Y BODEGA
1000;Q050400019;FAC.CC.EDUCACIÓN BODEGA
1000;Q050400020;FAC.CC.EDUCACIÓNOF.PROFESORES 301-304
1000;Q050400021;FAC.CC.EDUCACIÓN SALA DE SESIONES
1000;Q050400022;FAC.CC.EDUCACIÓN SALA DE PROFESORES 005
1000;Q050400023;FAC.CC.EDUCACIÓNCENTR.DOC.007
1000;Q050400024;FAC.CC.EDUCACIÓN INVEST.PEDAGÓGICA
1000;Q050400025;FAC.CC.EDUCACIÓN OF.111 PROFESORES
1000;Q050400026;FAC.CC.EDUCACIÓN OF. 303-CUBICULO 1 Y 2
1000;Q050400027;FAC.CC.EDUCACIÓN EXPR.CORP.A206
1000;Q050400028;FAC.CC.EDUCACIÓNSALA DE MÚSICA AULA 106
1000;Q050400029;FAC.CC.EDUCACIÓN AULA MAGNA
1000;Q050400030;FAC.CC.EDUCACIÓN DOCTORADO EN EDUCACIÓN
1000;Q050400031;FAC.CC.EDUCACIÓN SECRETARÍA DE MAESTRIA
1000;Q050400032;FAC.CC.EDUCACIÓN SUBDECANATO
1000;Q050400033;FAC.CC.EDUCACIÓNCOORDINACIÓN PARVULARIA
1000;Q050400034;FAC.CC.EDUCACIÓN COORD.BASICA.Y.BACH
1000;Q050400035;FAC.CC.EDUCACIÓN AULA 205
1000;Q050400036;FAC.CC.EDUCACIÓN AUDITORIO 3° PISO
1000;Q050400037;FAC.CC.EDUCACIÓN AUD.MATER.CLASS.OF.305
1000;Q050400038;FAC.CC.EDUCACIÓN AULA 203
1000;Q050400039;FAC.CC.EDUCACIÓN AULA 202
1000;Q050400040;FAC.CC.EDUCACIÓN AULA 204
1000;Q050400041;FAC.CC.EDUCACIÓN AULA 201
1000;Q050400042;FAC.CC.EDUCACIÓN AULA 206
1000;Q050400043;FAC.CC.EDUCACIÓN AULA 207
1000;Q050400044;FAC.CC.EDUCACIÓN AULA 208
1000;Q050400045;FAC.CC.EDUCACIÓN AULA 209
1000;Q050400046;FAC.CC.EDUCACIÓN AULA 107
1000;Q050400047;FAC.CC.EDUCACIÓN AULA110 (AUD)
1000;Q050400048;FAC.CC.EDUCACIÓN AULA 109
1000;Q050400049;FAC.CC.EDUCACIÓN AULA 111
1000;Q050400050;FAC.CC.EDUCACIÓN AULA 106
1000;Q050400051;FAC.CC.EDUCACIÓN AULA 101
1000;Q050400052;FAC.CC.EDUCACIÓN AULA 104
1000;Q050400053;FAC.CC.EDUCACIÓN AULA 102
1000;Q050400054;FAC.CC.EDUCACIÓN AULA 103
1000;Q050400055;FAC.CC.EDUCACIÓN AULA 108
1000;Q050400056;FAC.CC.EDUCACIÓN AULA 210
1000;Q050400057;FAC.CC.EDUCACIÓN CAFETERÍA
1000;Q050400058;FAC.CC.EDUCACIÓN SECRETARIO ABOGADO
1000;Q050400059;FAC.CC.EDUCACIÓN CURS.NIVEL.COORD.
1000;Q050400060;FAC.CC.EDUCACIÓN CURS.NIVELAC.AISIST.
1000;Q050400061;FAC.CC.EDUCACIÓNPASILLOS Y HALLS PISO 1
1000;Q050400062;FAC.CC.EDUCACIÓNPASILLOS Y HALLS PISO 2
1000;Q050400063;FAC.CC.EDUCACIÓNPASILLOS Y HALLS PISO 3
1000;Q050405001;CT.PROD.AUDIOVISUAL DIRECCIÓN
1000;Q050405002;CT.PROD.AUDIOVISUAL SECRETARÍA AUDIOV.
1000;Q050405003;CT.PROD.AUDIOVISUALAUDIOVISUALES BODEGA
1000;Q050405004;CT.PROD.AUDIOVISUAL PASILLOS Y HALLS
1000;Q050405005;CT.PROD.AUDIOVISUAL BAÑOS Y BODEGA
1000;Q050405006;CT.PROD.AUDIOVISUAL AUDITORIO
1000;Q050405007;CT.PROD.AUDIOVISUAL SALA.EDICIÓN.NOLIN.
1000;Q050405008;CT.PROD.AUDIOVISUAL ESTUD.TELEVISIÓN
1000;Q050405009;CT.PROD.AUDIOVISUAL MA. ADMIN.EDUCATIVA
1000;Q050405010;CT.PROD.AUDIOVISUAL LAB. FOTOGRAFÍA
1000;Q050405011;CT.PROD.AUDIOVISUAL ESTUDIO DE RADIO
1000;Q050405012;CT.PROD.AUDIOVISUAL SALA.EDIC.LINEAL
1000;Q050405013;CT.PROD.AUDIOVISUAL PASILLOS Y HALLS
1000;Q050405014;CT.PROD.AUDIOVISUAL BAÑOS Y BODEGA
1000;Q050405015;CT.PROD.AUDIOVISUAL INFORMATICA
1000;Q050405016;CT.PROD.AUDIOVISUAL AULA MULTIMEDIA
1000;Q050405017;CT.PROD.AUDIOVISUALFOTOGRAFÍA DIGITAL
1000;Q050405018;CT.PROD.AUDIOVISUALEDICIÓN SONIDO
1000;Q050405019;CT.PROD.AUDIOVISUAL SALA AVIT
1000;Q050500001;FAC.CC.EXACTASYNATU DECANATO
1000;Q050500002;FAC.CC.EXACTASYNATU SECRETARÍA OFC. 402
1000;Q050500003;FAC.CC.EXACTASYNATU SECRETARÍA FACULTAD
1000;Q050500004;FAC.CC.EXACTASYNATU SALA DE ESPERA
1000;Q050500005;FAC.CC.EXACTASYNATU BAÑOS Y BODEGA
1000;Q050500006;FAC.CC.EXACTASYNATU TERRAZA
1000;Q050500007;FAC.CC.EXACTASYNATU OFICINA 406
1000;Q050500008;FAC.CC.EXACTASYNATU AULAS
1000;Q050500009;FAC.CC.EXACTASYNATULAB. MEDICINA
1000;Q050500010;FAC.CC.EXACTASYNATU OF. SECRETARIO
1000;Q050500011;FAC.CC.EXACTASYNATU ARCHIVO - CAFETERIA
1000;Q050500012;FAC.CC.EXACTASYNATU PASILLOS Y HALLS
1000;Q050500013;FAC.CC.EXACTASYNATUAUDITORIO
1000;Q050500014;FAC.CC.EXACTASYNATULAB. BIOTEC.VEGETAL
1000;Q050500015;FAC.CC.EXACTASYNATUOF.PROF.505 (SOC.)
1000;Q050500016;FAC.CC.EXACTASYNATU AULA 101
1000;Q050500017;FAC.CC.EXACTASYNATUCENTR.COMUN.AMBIENT
1000;Q050510001;ES.CC.BIOLÓGICAS DIRECCIÓN OFC. 101
1000;Q050510002;ES.CC.BIOLÓGICAS SALA DE REUNIONES
